11	17
16	16
8
0	1	2	3	4	5	6	7	8	9	10	3	11	12	13	14	15	
16	17	18	4	5	19	20	4	16	21	22	4	4	23	24	9	25	
26	27	28	29	30	31	32	29	33	7	4	34	35	12	13	14	15	
36	37	38	39	4	4	4	39	4	4	39	39	4	23	24	9	25	
26	27	40	34	41	29	20	5	42	31	34	31	11	12	13	14	15	
36	37	38	39	4	39	5	19	20	4	4	4	4	23	24	9	25	
0	43	44	45	34	31	34	46	32	29	30	46	11	12	13	14	15	
16	47	48	49	50	4	51	52	50	39	51	52	50	23	24	9	25	
0	53	54	55	56	57	58	59	60	57	61	62	56	57	63	14	15	
16	64	65	66	67	66	67	66	67	66	68	66	67	66	69	9	25	
0	1	70	71	72	73	74	27	75	73	37	71	72	73	74	27	76	
